satzId,Wort,Attribut
3068,Ilve,B-Brand
3068,UM12FDNS3BKCLPIlve,O
3068,UM12FDNS3BKCLP,B-Modelnumber
3068,Overview,O
3068,The,O
3068,48,O
3068,"""",O
3068,Majestic,O
3068,freestanding,O
3068,range,O
3068,brings,O
3068,the,O
3068,ultimate,O
3068,cooking,O
3068,experience,O
3068,to,O
3068,your,O
3068,kitchen,O
3068,.,O
3068,The,O
3068,large,O
3068,European,O
3068,Convection,O
3068,oven,O
3068,gives,O
3068,you,O
3068,the,O
3068,power,O
3068,to,O
3068,experiment,O
3068,with,O
3068,your,O
3068,dishes,O
3068,and,O
3068,get,O
3068,even,O
3068,cooking,O
3068,",",O
3068,while,O
3068,the,O
3068,full,O
3068,-,O
3068,width,O
3068,warming,O
3068,drawer,O
3068,gives,O
3068,the,O
3068,option,O
3068,to,O
3068,use,O
3068,residual,O
3068,heat,O
3068,of,O
3068,the,O
3068,oven,O
3068,to,O
3068,keep,O
3068,cooked,O
3068,food,O
3068,warm,O
3068,or,O
3068,warm,O
3068,your,O
3068,dishes,O
3068,before,O
3068,serving,O
3068,.,O
3068,The,O
3068,cooktop,O
3068,features,O
3068,semi,O
3068,-,O
3068,sealed,O
3068,burners,O
3068,with,O
3068,various,O
3068,BTUs,O
3068,to,O
3068,cook,O
3068,whatever,O
3068,you,O
3068,want,O
3068,",",O
3068,however,O
3068,you,O
3068,want,O
3068,.,O
3068,Available,O
3068,at,O
3068,AppliancesConnection,O
3068,Features,O
3068,:,O
3068,Majestic,O
3068,:,O
3068,Quality,O
3068,in,O
3068,the,O
3068,Details,O
3068,A,O
3068,true,O
3068,kitchen,O
3068,centerpiece,O
3068,that,O
3068,is,O
3068,sure,O
3068,to,O
3068,demand,O
3068,attention,O
3068,",",O
3068,these,O
3068,exceptional,O
3068,bespoke,O
3068,ranges,O
3068,will,O
3068,compliment,O
3068,any,O
3068,kitchen,O
3068,.,O
3068,The,O
3068,unique,O
3068,style,O
3068,of,O
3068,the,O
3068,Majestic,O
3068,Series,O
3068,stands,O
3068,out,O
3068,above,O
3068,the,O
3068,rest,O
3068,.,O
3068,ILVE,B-Brand
3068,offers,O
3068,the,O
3068,ability,O
3068,to,O
3068,create,O
3068,a,O
3068,customised,O
3068,and,O
3068,individual,O
3068,look,O
3068,.,O
3068,Brass,O
3068,Burner,O
3068,with,O
3068,Nanotechnoloical,O
