satzId,Wort,Attribut
0,Broan,B-Brand
0,TEN136WWBroan,O
0,TEN136WW,B-Modelnumber
0,Overview,O
0,The,O
0,Tenya,O
0,1,O
0,Series,O
0,Under,O
0,Cabinet,O
0,Range,O
0,Hood,O
0,by,O
0,Broan,B-Brand
0,offers,O
0,2-speed,O
0,motor,O
0,with,O
0,up,O
0,to,O
0,250,O
0,CFM,O
0,of,O
0,ventilation,O
0,.,O
0,The,O
0,hood,O
0,also,O
0,features,O
0,the,O
0,Captur,O
0,™,O
0,System,O
0,",",O
0,rocker,O
0,switches,O
0,and,O
0,a,O
0,mesh,O
0,filter,O
0,.,O
0,Available,O
0,at,O
0,AppliancesConnection,O
0,Features,O
0,:,O
0,Captur,O
0,™,O
0,System,O
0,The,O
0,Captur,O
0,™,O
0,system,O
0,’s,O
0,advanced,O
0,blower,O
0,design,O
0,features,O
0,a,O
0,forward,O
0,positioned,O
0,centric,O
0,inlet,O
0,to,O
0,remove,O
0,smoke,O
0,and,O
0,odor,O
0,faster,O
0,.,O
0,Two,O
0,-,O
0,speed,O
0,blower,O
0,control,O
0,exhausts,O
0,at,O
0,250,O
0,CFM,O
0,Max,O
0,high,O
0,Quiet,O
0,Operation,O
0,Smooth,O
0,-,O
0,flow,O
0,blower,O
0,wheel,O
0,design,O
0,and,O
0,high,O
0,flow,O
0,filters,O
0,ensure,O
0,quiet,O
0,",",O
0,1.5,O
0,sones,O
0,operation,O
0,at,O
0,normal,O
0,speed,O
0,Halogen,O
0,Lighting,O
0,Two,O
0,-,O
0,level,O
0,",",O
0,halogen,O
0,bulbs,O
0,flood,O
0,the,O
0,cooktop,O
0,and,O
0,surrounding,O
0,area,O
0,with,O
0,generous,O
0,illumination,O
0,.,O
0,(,O
0,50W,O
0,bulbs,O
0,sold,O
0,separately,O
0,.,O
0,),O
0,Rocker,O
0,Switches,O
0,Hidden,O
0,on,O
0,/,O
0,off,O
0,rocker,O
0,switches,O
0,controls,O
0,two,O
0,blower,O
0,speeds,O
0,and,O
0,light,O
0,levels,O
0,Mesh,O
0,Filter,O
0,Large,O
0,dishwasher,O
0,-,O
0,safe,O
0,",",O
0,single,O
0,open,O
0,mesh,O
0,filter,O
0,provides,O
0,efficient,O
0,grease,O
0,removal,O
0,Additional,O
0,Features,O
0,:,O
0,ADA,O
0,capable,O
0,(,O
0,Kit,O
0,Sold,O
0,Separately,O
0,),O
0,Non,O
0,-,O
0,duct,O
0,capable,O
0,(,O
0,Filter,O
0,Sold,O
0,Separately,O
0,),O
0,3¼,O
0,in,O
0,.,O
0,x,O
0,10,O
0,in,O
0,.,O
0,Vertical,O
0,/,O
0,Horizontal,O
0,Rectangular,O
0,Duct,O
0,7,O
0,in,O
0,.,O
0,Vertical,O
0,Round,O
0,Duct,O
0,1,O
0,Year,O
0,Limited,O
0,Warranty,O
1,Viking,B-Brand
1,VCBB5363ERWHViking,O
1,VCBB5363ERWH,B-Modelnumber
1,Overview,O
1,The,O
1,36,O
1,"""",O
1,Professional,O
1,5,O
1,series,O
1,bottom,O
1,freezer,O
1,refrigerator,O
1,features,O
1,over,O
1,20,O
1,c.,O
1,ft,O
1,.,O
1,capacity,O
1,for,O
1,all,O
1,your,O
1,refrigerating,O
1,needs,O
1,.,O
1,The,O
1,refrigerator,O
1,comes,O
1,with,O
1,the,O
1,quietest,O
1,variable,O
1,speed,O
1,DC,O
1,Overdrive,O
1,compressor,O
1,with,O
1,digital,O
1,readout,O
1,for,O
1,precise,O
1,temperature,O
1,management,O
1,.,O
1,The,O
1,spill,O
1,-,O
1,proof,O
1,shelves,O
1,contain,O
1,spills,O
1,and,O
1,maximize,O
1,usable,O
1,space,O
1,for,O
1,convenient,O
1,storage,O
1,.,O
1,Available,O
1,at,O
1,AppliancesConnection,O
1,Features,O
1,:,O
1,ProChill,O
1,Temperature,O
1,Management,O
1,ProChill,O
1,temperature,O
1,management,O
1,system,O
1,with,O
1,variable,O
1,speed,O
1,DC,O
1,Overdrive,O
1,compressor,O
1,.,O
1,Single,O
1,compressor,O
1,system,O
1,includes,O
1,the,O
1,quietest,O
1,compressor,O
1,available,O
1,.,O
1,Electronic,O
1,controls,O
1,provide,O
